market,event_id,h1_open,decision_time,side,ktr,ktr_regime,session,h1_close,action,sl_mult,tp_mult,outcome,n_legs,campaign_R,entry_time,exit_time,future_path,retrospective_archetype,retrospective_plan,why_it_makes_sense,lesson,retro_confidence
GOLD#,GOLD-05,2026-06-25 15:00:00,2026-06-25 16:00:00,UPPER,18.389999999999876,NORMAL,EUROPE,4012.29,SHORT,2.5,2.0,SL,5,-5.0,2026-06-25 16:00:00,2026-06-26 15:58:00,거의 역행 없이 +1KTR를 먼저 달성. +2KTR는 중간 -1.59KTR pullback 후에야 도달.,돌파 scalp,"LONG / SL 0.5KTR / TP 1KTR / runner는 BE로만 유지, 추가진입 없음","상단 DB, 강한 양봉, 두 밴드 밖 마감, 세션 고가 이탈. 반면 장기 trend는 mixed이고 BB 폭은 오히려 압축되어 있어 “한 번의 burst” 우위가 더 큼.",compression 뒤 DB는 첫 expansion은 먹되 지속성을 가정하지 말아야 한다.,HIGH
GOLD#,GOLD-06,2026-07-29 08:00:00,2026-07-29 09:00:00,UPPER,11.340000000000146,NORMAL,ASIA,4032.99,SKIP,,,SKIP,0,0.0,,,상방 흔들림 약 +1.3KTR 후 하방 2~3KTR. 이후 다시 상방 변동.,기본(상단 fade),SHORT / SL 1.5KTR / TP 2KTR / 같은 세션 안에서 종료 / 추가는 최대 2회,"상단 DB지만 trend는 mixed, 몸통은 +0.5KTR로 약하고 두 밴드 밖 마감도 아님. 세션 고가는 건드렸어도 acceptance가 약함.",DB side가 같아도 trend/context가 약하면 breakout보다 basic fade가 자연스럽다.,MEDIUM
GOLD#,GOLD-07,2026-07-30 16:00:00,2026-07-30 17:00:00,UPPER,47.71000000000004,HIGH,US,4112.26,SKIP,,,SKIP,0,0.0,,,상방 MFE는 +0.17KTR뿐이고 바로 하방 약 1.9KTR.,변곡/고 KTR exhaustion,SHORT / SL 0.5KTR / TP 1.5KTR / 추가진입 없음,KTR HIGH인데 상단 DB가 발생했고 세션 고가 돌파·안착이 없음. 절대 가격 기준으로 3KTR 목표/stop은 과도해지는 환경.,HIGH KTR에서는 KTR 배수를 줄여야 한다. 큰 KTR + DB는 continuation보다 exhaustion 가능성을 먼저 의심할 가치가 있음.,HIGH
GOLD#,GOLD-08,2026-08-18 23:00:00,2026-08-19 00:00:00,LOWER,30.19000000000051,NORMAL,US,4334.15,SHORT,2.5,3.0,NO_ENTRY_GAP,0,0.0,,,하방 추가는 -0.32KTR뿐이고 이후 상방 +6KTR 이상.,변곡이었지만 close 시점 즉시진입 근거는 약함,WAIT → 밴드/세션 저가 reclaim 확인 후 LONG. 즉시 market LONG은 hindsight.,하락 trend와 세션 저가 이탈이 있어 close 시점만 보면 여전히 bearish. 다만 이벤트 캔들은 작고 두 밴드 밖 마감이 아니어서 continuation 확신도 낮음.,미래를 봤다고 모든 event close에 반대 포지션을 붙이면 과최적화다. 일부는 반드시 WAIT_CONFIRM이어야 한다.,MEDIUM
USDJPY#,USDJPY-01,2026-02-04 11:00:00,2026-02-04 12:00:00,UPPER,0.1020000000000038,LOW,EUROPE,156.64,LONG,3.5,3.5,TP,6,16.23495934959155,2026-02-04 12:00:00,2026-02-05 08:02:00,"+2KTR를 0.34KTR heat로 달성, 이후 더 큰 상승도 존재.",돌파,LONG / SL 0.5~1KTR / TP 2KTR + 일부 runner BE / 추가진입 없음,"prior trend 매우 강함(+9KTR/12h), MA 위 +6KTR, 세션 고가 돌파. rare event가 추세 재가속으로 작동.",LOW KTR라고 무조건 3.5K stop을 쓸 필요가 없다. 구조가 깨끗하면 오히려 tight stop이 효율적.,HIGH
USDJPY#,USDJPY-02,2026-03-20 11:00:00,2026-03-20 12:00:00,UPPER,0.2330000000000041,NORMAL,EUROPE,158.83,SKIP,,,SKIP,0,0.0,,,약 -1.35KTR pullback 후 +2KTR.,돌파 pullback,시장가 chase보다 0.5KTR 간격 zone LONG / 공통 SL 1.5KTR / TP 2KTR. 최대 2회 추가.,상단 DB와 강한 양봉/두 밴드 밖 마감/세션 돌파는 bullish지만 최근 pivot high까지 여유가 남아 있어 즉시 추격보다 retrace 진입이 더 자연스러움.,분할매매는 “손실구제”가 아니라 애초에 예상한 pullback 진입 구조에서 써야 한다.,HIGH
USDJPY#,USDJPY-03,2026-04-07 22:00:00,2026-04-07 23:00:00,LOWER,0.1680000000000063,LOW,US,159.577,LONG,3.5,2.0,SL,7,-7.0,2026-04-07 23:00:00,2026-04-08 01:56:00,하방 -3KTR를 약 +1KTR heat로 달성하고 이후 -10KTR까지 확장.,돌파,SHORT / SL 1.5KTR / TP 3KTR + runner / 0.5KTR 최대 2회 계획 추가 가능,"downtrend, 강한 음봉, 세션 저가 이탈. 두 밴드 밖 몸통마감은 아니어도 방향 context가 충분히 정렬.",두 밴드 밖 close는 breakout의 필요조건도 아니다.,HIGH
USDJPY#,USDJPY-04,2026-05-01 09:00:00,2026-05-01 10:00:00,LOWER,0.3799999999999954,HIGH,ASIA,155.961,SHORT,1.5,1.5,SL,3,-3.0,2026-05-01 10:00:00,2026-05-01 10:08:00,하방 heat는 0.27KTR뿐이고 곧 상방 +3KTR.,변곡(고 KTR capitulation),LONG / SL 0.5KTR / TP 3KTR / 추가진입 없음,"KTR HIGH인데 event range 4.75KTR, body -3.46KTR의 극단적 하방 displacement. 이런 절정 candle을 그대로 chase하면 위험.",HIGH KTR + terminal displacement는 변곡 후보. 이때 1.5K 이상 wide stop은 절대 가격으로 너무 큼.,HIGH
USDJPY#,USDJPY-05,2026-05-18 06:00:00,2026-05-18 07:00:00,UPPER,0.117999999999995,NORMAL,ASIA,159.031,LONG,2.5,3.0,SL,5,-5.0,2026-05-18 07:00:00,2026-05-18 14:41:00,상방 heat 0.38KTR 뒤 하방 -3KTR 이상.,변곡,SHORT / SL 0.5KTR / TP 3KTR / 추가진입 없음,"상승 trend가 성숙했고 상단 DB 발생. BB20은 확장됐지만 단기 4,4 band expansion은 약해져 단기 추진력과 장기 이격의 불일치가 보임.",“장기 이격은 큰데 단기 밴드 추진은 둔화” 같은 질적 divergence가 turning 근거가 될 수 있음.,HIGH
USDJPY#,USDJPY-06,2026-08-13 15:00:00,2026-08-13 16:00:00,LOWER,0.0920000000000129,LOW,EUROPE,159.169,LONG,3.5,2.0,TP,4,4.3028528528531655,2026-08-13 16:00:00,2026-08-13 18:29:00,"+1KTR rebound는 0.25KTR heat로 빠르게 발생, +2K는 1.65KTR heat가 필요. 이후 -6KTR.",기본 scalp,LONG / SL 0.5KTR / TP 1KTR / runner 없음,LOW KTR lower DB의 shock 이후 단기 mean reversion은 있었지만 큰 추세 전환 근거는 없음.,LOW KTR라고 큰 SL/TP를 자동 적용하면 안 된다. 작은 KTR일수록 오히려 “짧은 rebound”만 먹는 경우도 있음.,MEDIUM
USDJPY#,USDJPY-07,2026-08-18 07:00:00,2026-08-18 08:00:00,UPPER,0.1069999999999993,NORMAL,ASIA,159.689,LONG,2.0,2.5,SL,4,-4.0,2026-08-18 08:00:00,2026-08-18 17:06:00,상방 heat 약 0.9KTR 뒤 하방 -3KTR.,변곡,SHORT / SL 1KTR / TP 3KTR / 필요시 0.5KTR 1회만 추가,기존 상승이 성숙한 상태에서 상단 DB/두 밴드 밖 마감이 나왔지만 이후 더 높은 acceptance가 없고 기존 resistance 부근.,같은 “밖 마감”도 fresh breakout인지 terminal push인지 S/R과 trend maturity로 분리해야 함.,HIGH
USDJPY#,USDJPY-08,2026-08-19 00:00:00,2026-08-19 01:00:00,LOWER,0.157999999999987,NORMAL,US,159.578,LONG,2.5,2.0,SL,5,-5.0,2026-08-19 01:00:00,2026-08-19 09:20:00,"상방 MFE 0.37KTR뿐, 이후 하방 -9.7KTR.",후속 breakout이었지만 event close 자체는 애매,WAIT → 세션 저가/구조 break 확인 후 SHORT. event close 즉시 SHORT으로 소급하지 않음.,"event body가 작고 close는 candle 상단, 두 밴드 밖 마감도 아니며 session box 내부. close 시점에는 short 우위를 강하게 말할 근거가 부족.",역설계의 핵심은 “몰랐던 것은 몰랐다고 남기는 것”. 그래야 다음 validation이 오염되지 않는다.,HIGH
